institutes,geo.cities,geo.states,geo.countries,input.name,input.city,input.state,input.country
"[{'institute': {'id': 'grid.4489.1', 'name': 'University of Granada', 'city': 'Granada', 'state': None, 'country': 'Spain'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2517117, 'name': 'Granada'}]","[{'geonames_id': 2593109, 'name': 'Andalusia', 'code': None}]","[{'geonames_id': 2510769, 'name': 'Spain', 'code': 'ES'}]",University of Granada,nan,nan,Spain
"[{'institute': {'id': 'grid.9018.0', 'name': 'Martin Luther University Halle-Wittenberg', 'city': 'Halle', 'state': None, 'country': 'Germany'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2911522, 'name': 'Halle (Saale)'}]","[{'geonames_id': 2842565, 'name': 'Saxony-Anhalt', 'code': None}]","[{'geonames_id': 2921044, 'name': 'Germany', 'code': 'DE'}]",Martin Luther University Halle-Wittenberg,nan,nan,Germany
"[{'institute': {'id': 'grid.27235.31', 'name': 'United States Department of Health and Human Services', 'city': 'Washington D.C.', 'state': 'District of Columbia', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4140963, 'name': 'Washington, D.C.'}]","[{'geonames_id': 4138106, 'name': 'Washington, D.C.', 'code': 'US-DC'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",United States Department of Health and Human Services,nan,nan,United States
"[{'institute': {'id': 'grid.7763.5', 'name': 'University of Cagliari', 'city': 'Cagliari', 'state': None, 'country': 'Italy'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2525473, 'name': 'Cagliari'}]","[{'geonames_id': 2523228, 'name': 'Sardinia', 'code': None}]","[{'geonames_id': 3175395, 'name': 'Italy', 'code': 'IT'}]",University of Cagliari,nan,nan,Italy
"[{'institute': {'id': 'grid.419475.a', 'name': 'National Institute on Aging', 'city': 'Baltimore', 'state': 'Maryland', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4347778, 'name': 'Baltimore'}]","[{'geonames_id': 4361885, 'name': 'Maryland', 'code': 'US-MD'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",National Institute on Aging,nan,nan,United States
"[{'institute': {'id': 'grid.437102.3', 'name': 'Pennsylvania State System of Higher Education', 'city': 'Harrisburg', 'state': 'Pennsylvania', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 5192726, 'name': 'Harrisburg'}]","[{'geonames_id': 6254927, 'name': 'Pennsylvania', 'code': 'US-PA'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",Pennsylvania State System of Higher Education,nan,nan,United States
"[{'institute': {'id': 'grid.49470.3e', 'name': 'Wuhan University', 'city': 'Wuhan', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1791247, 'name': 'Wuhan'}]","[{'geonames_id': 1806949, 'name': 'Hubei', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Wuhan University,nan,nan,China
"[{'institute': {'id': 'grid.12981.33', 'name': 'Sun Yat-sen University', 'city': 'Guangzhou', 'state': 'Guangdong', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1809858, 'name': 'Guangzhou'}]","[{'geonames_id': 1809935, 'name': 'Guangdong', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Sun Yat-sen University,nan,nan,China
"[{'institute': {'id': 'grid.203458.8', 'name': 'Chongqing Medical University', 'city': 'Chongqing', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1814906, 'name': 'Chongqing'}]","[{'geonames_id': 1814905, 'name': 'Chongqing', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Chongqing Medical University,nan,nan,China
"[{'institute': {'id': 'grid.13402.34', 'name': 'Zhejiang University', 'city': 'Hangzhou', 'state': 'Zhejiang', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1808926, 'name': 'Hangzhou'}]","[{'geonames_id': 1784764, 'name': 'Zhejiang', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Zhejiang University,nan,nan,China
"[{'institute': {'id': 'grid.410443.6', 'name': 'University System of Maryland', 'city': 'Adelphi', 'state': 'Maryland', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4346991, 'name': 'Adelphi'}]","[{'geonames_id': 4361885, 'name': 'Maryland', 'code': 'US-MD'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",University System of Maryland,nan,nan,United States
"[{'institute': {'id': 'grid.260483.b', 'name': 'Nantong University', 'city': 'Nantong', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1799722, 'name': 'Nantong'}]","[{'geonames_id': 1806260, 'name': 'Jiangsu', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Nantong University,nan,nan,China
"[{'institute': {'id': 'grid.13291.38', 'name': 'Sichuan University', 'city': 'Chengdu', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1815286, 'name': 'Chengdu'}]","[{'geonames_id': 1794299, 'name': 'Sichuan', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Sichuan University,nan,nan,China
[],"[{'geonames_id': 1799552, 'name': 'Nanzhou'}]","[{'geonames_id': 1806691, 'name': 'Hunan', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Tianjin Neurological Institute,nan,nan,China
"[{'institute': {'id': 'grid.265008.9', 'name': 'Thomas Jefferson University', 'city': 'Philadelphia', 'state': 'Pennsylvania', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4560349, 'name': 'Philadelphia'}]","[{'geonames_id': 6254927, 'name': 'Pennsylvania', 'code': 'US-PA'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",Thomas Jefferson University,nan,nan,United States
"[{'institute': {'id': 'grid.22935.3f', 'name': 'China Agricultural University', 'city': 'Beijing', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1816670, 'name': 'Beijing'}]","[{'geonames_id': 2038349, 'name': 'Beijing', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",China Agricultural University,nan,nan,China
"[{'institute': {'id': 'grid.216417.7', 'name': 'Central South University', 'city': 'Changsha', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1815577, 'name': 'Changsha'}]","[{'geonames_id': 1806691, 'name': 'Hunan', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Central South University,nan,nan,China
