matches,input.affiliation
"[{'institutes': [{'institute': {'id': 'grid.10267.32', 'name': 'Masaryk University', 'city': 'Brno', 'state': None, 'country': 'Czechia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 3078610, 'name': 'Brno'}], 'states': [{'geonames_id': 3339536, 'name': 'South Moravian', 'code': None}], 'countries': [{'geonames_id': 3077311, 'name': 'Czechia', 'code': 'CZ'}]}, 'affiliation_part': 'Masaryk University'}]",Masaryk University
"[{'institutes': [{'institute': {'id': 'grid.174567.6', 'name': 'Nagasaki University', 'city': 'Nagasaki', 'state': None, 'country': 'Japan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1856177, 'name': 'Nagasaki'}], 'states': [{'geonames_id': 1856156, 'name': 'Nagasaki', 'code': None}], 'countries': [{'geonames_id': 1861060, 'name': 'Japan', 'code': 'JP'}]}, 'affiliation_part': 'Nagasaki University'}]",Nagasaki University
"[{'institutes': [{'institute': {'id': 'grid.440588.5', 'name': 'Northwestern Polytechnical University', 'city': ""Xi'an"", 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1790630, 'name': ""Xi'an""}], 'states': [{'geonames_id': 1796480, 'name': 'Shaanxi', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'Northwestern Polytechnical University'}]",Northwestern Polytechnical University
"[{'institutes': [{'institute': {'id': 'grid.13291.38', 'name': 'Sichuan University', 'city': 'Chengdu', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1815286, 'name': 'Chengdu'}], 'states': [{'geonames_id': 1794299, 'name': 'Sichuan', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'Sichuan University'}]",Sichuan University
"[{'institutes': [{'institute': {'id': 'grid.411059.8', 'name': 'Central University of Las Villas', 'city': 'Santa Clara', 'state': None, 'country': 'Cuba'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 3537906, 'name': 'Santa Clara'}], 'states': [{'geonames_id': 3534168, 'name': 'Villa Clara', 'code': None}], 'countries': [{'geonames_id': 3562981, 'name': 'Cuba', 'code': 'CU'}]}, 'affiliation_part': 'Universidad Central Marta Abreu de Las Villas'}]",Universidad Central Marta Abreu de Las Villas
"[{'institutes': [{'institute': {'id': 'grid.462999.9', 'name': 'Northern University of Malaysia', 'city': 'Jitra', 'state': None, 'country': 'Malaysia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1736302, 'name': 'Jitra'}], 'states': [{'geonames_id': 1733048, 'name': 'Kedah', 'code': None}], 'countries': [{'geonames_id': 1733045, 'name': 'Malaysia', 'code': 'MY'}]}, 'affiliation_part': 'Universiti Utara Malaysia (UUM)'}]",Universiti Utara Malaysia (UUM)
"[{'institutes': [{'institute': {'id': 'grid.267323.1', 'name': 'The University of Texas at Dallas', 'city': 'Richardson', 'state': 'Texas', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4722625, 'name': 'Richardson'}], 'states': [{'geonames_id': 4736286, 'name': 'Texas', 'code': 'US-TX'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of Texas Dallas'}]",University of Texas Dallas
"[{'institutes': [{'institute': {'id': 'grid.21100.32', 'name': 'York University', 'city': 'Toronto', 'state': 'Ontario', 'country': 'Canada'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 6167865, 'name': 'Toronto'}], 'states': [{'geonames_id': 6093943, 'name': 'Ontario', 'code': 'CA-ON'}], 'countries': [{'geonames_id': 6251999, 'name': 'Canada', 'code': 'CA'}]}, 'affiliation_part': 'York University'}]",York University
"[{'institutes': [{'institute': {'id': 'grid.8096.7', 'name': 'Coventry University', 'city': 'Coventry', 'state': None, 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2652221, 'name': 'Coventry'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'Coventry University'}]",Coventry University
"[{'institutes': [{'institute': {'id': 'grid.15399.37', 'name': 'Institut National des Sciences Appliquées de Lyon', 'city': 'Lyon', 'state': None, 'country': 'France'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 2996944, 'name': 'Lyon'}], 'states': [{'geonames_id': 11071625, 'name': 'Auvergne-Rhone-Alpes', 'code': None}], 'countries': [{'geonames_id': 3017382, 'name': 'France', 'code': 'FR'}]}, 'affiliation_part': 'Institut National des Sciences Appliquées de Lyon (INSA)'}]",Institut National des Sciences Appliquées de Lyon (INSA)
"[{'institutes': [{'institute': {'id': 'grid.34421.30', 'name': 'Iowa State University', 'city': 'Ames', 'state': 'Iowa', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4846834, 'name': 'Ames'}], 'states': [{'geonames_id': 4862182, 'name': 'Iowa', 'code': 'US-IA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Iowa State University'}]",Iowa State University
"[{'institutes': [{'institute': {'id': 'grid.260975.f', 'name': 'Niigata University', 'city': 'Niigata', 'state': None, 'country': 'Japan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1855431, 'name': 'Niigata'}], 'states': [{'geonames_id': 1855429, 'name': 'Niigata', 'code': None}], 'countries': [{'geonames_id': 1861060, 'name': 'Japan', 'code': 'JP'}]}, 'affiliation_part': 'Niigata University'}]",Niigata University
"[{'institutes': [{'institute': {'id': 'grid.261445.0', 'name': 'Osaka City University', 'city': 'Osaka', 'state': None, 'country': 'Japan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1853909, 'name': 'Osaka'}], 'states': [{'geonames_id': 1853904, 'name': 'Osaka', 'code': None}], 'countries': [{'geonames_id': 1861060, 'name': 'Japan', 'code': 'JP'}]}, 'affiliation_part': 'Osaka City University'}]",Osaka City University
"[{'institutes': [{'institute': {'id': 'grid.440916.e', 'name': 'Satbayev University', 'city': 'Almaty', 'state': None, 'country': 'Kazakhstan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1526384, 'name': 'Almaty'}], 'states': [{'geonames_id': 1526395, 'name': 'Almaty', 'code': None}], 'countries': [{'geonames_id': 1522867, 'name': 'Kazakhstan', 'code': 'KZ'}]}, 'affiliation_part': 'Satbayev University (previously Kazakh Technical University named after K.I. Satpaev)'}]",Satbayev University (previously Kazakh Technical University named after K.I. Satpaev)
"[{'institutes': [{'institute': {'id': 'grid.7704.4', 'name': 'University of Bremen', 'city': 'Bremen', 'state': None, 'country': 'Germany'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2944388, 'name': 'Bremen'}], 'states': [{'geonames_id': 2944387, 'name': 'Bremen', 'code': None}], 'countries': [{'geonames_id': 2921044, 'name': 'Germany', 'code': 'DE'}]}, 'affiliation_part': 'Universität Bremen'}]",Universität Bremen
"[{'institutes': [{'institute': {'id': 'grid.33831.3a', 'name': 'Panthéon-Assas University', 'city': 'Paris', 'state': 'Île-de-France', 'country': 'France'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2988507, 'name': 'Paris'}], 'states': [{'geonames_id': 3012874, 'name': 'Ile-de-France', 'code': None}], 'countries': [{'geonames_id': 3017382, 'name': 'France', 'code': 'FR'}]}, 'affiliation_part': 'Université Panthéon-Assas (Paris 2)'}]",Université Panthéon-Assas (Paris 2)
"[{'institutes': [], 'geo': {'cities': [{'geonames_id': 4845411, 'name': 'West Hartford'}], 'states': [{'geonames_id': 4831725, 'name': 'Connecticut', 'code': 'US-CT'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Université Saint-Joseph de Beyrouth'}]",Université Saint-Joseph de Beyrouth
"[{'institutes': [{'institute': {'id': 'grid.33489.35', 'name': 'University of Delaware', 'city': 'Newark', 'state': 'Delaware', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4143861, 'name': 'Newark'}], 'states': [{'geonames_id': 4142224, 'name': 'Delaware', 'code': 'US-DE'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of Delaware'}]",University of Delaware
"[{'institutes': [{'institute': {'id': 'grid.251916.8', 'name': 'Ajou University', 'city': 'Suwon', 'state': None, 'country': 'South Korea'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1835553, 'name': 'Suwon'}], 'states': [{'geonames_id': 1841610, 'name': 'Gyeonggi-do', 'code': None}], 'countries': [{'geonames_id': 1835841, 'name': 'South Korea', 'code': 'KR'}]}, 'affiliation_part': 'Ajou University'}]",Ajou University
"[{'institutes': [{'institute': {'id': 'grid.22098.31', 'name': 'Bar-Ilan University', 'city': 'Ramat Gan', 'state': None, 'country': 'Israel'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 293788, 'name': 'Ramat Gan'}], 'states': [{'geonames_id': 293396, 'name': 'Tel Aviv', 'code': None}], 'countries': [{'geonames_id': 294640, 'name': 'Israel', 'code': 'IL'}]}, 'affiliation_part': 'Bar-Ilan University'}]",Bar-Ilan University
"[{'institutes': [{'institute': {'id': 'grid.18376.3b', 'name': 'Bilkent University', 'city': 'Ankara', 'state': None, 'country': 'Turkey'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 323786, 'name': 'Ankara'}], 'states': [{'geonames_id': 323784, 'name': 'Ankara', 'code': None}], 'countries': [{'geonames_id': 298795, 'name': 'Turkey', 'code': 'TR'}]}, 'affiliation_part': 'Bilkent University'}]",Bilkent University
"[{'institutes': [{'institute': {'id': 'grid.256753.0', 'name': 'Hallym University', 'city': 'Chuncheon', 'state': None, 'country': 'South Korea'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1845136, 'name': 'Chuncheon'}], 'states': [{'geonames_id': 1843125, 'name': 'Gangwon-do', 'code': None}], 'countries': [{'geonames_id': 1835841, 'name': 'South Korea', 'code': 'KR'}]}, 'affiliation_part': 'Hallym University'}]",Hallym University
"[{'institutes': [{'institute': {'id': 'grid.258676.8', 'name': 'Konkuk University', 'city': 'Seoul', 'state': None, 'country': 'South Korea'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1835848, 'name': 'Seoul'}], 'states': [{'geonames_id': 1835847, 'name': 'Seoul', 'code': None}], 'countries': [{'geonames_id': 1835841, 'name': 'South Korea', 'code': 'KR'}]}, 'affiliation_part': 'Konkuk University'}]",Konkuk University
"[{'institutes': [{'institute': {'id': 'grid.411323.6', 'name': 'Lebanese American University', 'city': 'Beirut', 'state': None, 'country': 'Lebanon'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 276781, 'name': 'Beirut'}], 'states': [{'geonames_id': 276780, 'name': 'Beyrouth', 'code': None}], 'countries': [{'geonames_id': 272103, 'name': 'Lebanon', 'code': 'LB'}]}, 'affiliation_part': 'Lebanese American University'}]",Lebanese American University
"[{'institutes': [{'institute': {'id': 'grid.259029.5', 'name': 'Lehigh University', 'city': 'Bethlehem', 'state': 'Pennsylvania', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5180225, 'name': 'Bethlehem'}], 'states': [{'geonames_id': 6254927, 'name': 'Pennsylvania', 'code': 'US-PA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Lehigh University'}]",Lehigh University
"[{'institutes': [{'institute': {'id': 'grid.444504.5', 'name': 'Management and Science University', 'city': 'Shah Alam', 'state': None, 'country': 'Malaysia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1732903, 'name': 'Shah Alam'}], 'states': [{'geonames_id': 1733037, 'name': 'Selangor', 'code': None}], 'countries': [{'geonames_id': 1733045, 'name': 'Malaysia', 'code': 'MY'}]}, 'affiliation_part': 'Management and Science University'}]",Management and Science University
"[{'institutes': [{'institute': {'id': 'grid.6738.a', 'name': 'Technische Universität Braunschweig', 'city': 'Braunschweig', 'state': None, 'country': 'Germany'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2945024, 'name': 'Braunschweig'}], 'states': [{'geonames_id': 2862926, 'name': 'Lower Saxony', 'code': None}], 'countries': [{'geonames_id': 2921044, 'name': 'Germany', 'code': 'DE'}]}, 'affiliation_part': 'Technische Universität Braunschweig'}]",Technische Universität Braunschweig
"[{'institutes': [{'institute': {'id': 'grid.15781.3a', 'name': 'Paul Sabatier University', 'city': 'Toulouse', 'state': None, 'country': 'France'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2972315, 'name': 'Toulouse'}], 'states': [{'geonames_id': 11071623, 'name': 'Occitanie', 'code': None}], 'countries': [{'geonames_id': 3017382, 'name': 'France', 'code': 'FR'}]}, 'affiliation_part': 'Université Paul Sabatier Toulouse III'}]",Université Paul Sabatier Toulouse III
"[{'institutes': [{'institute': {'id': 'grid.1019.9', 'name': 'Victoria University', 'city': 'Melbourne', 'state': 'Victoria', 'country': 'Australia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2158177, 'name': 'Melbourne'}], 'states': [{'geonames_id': 2145234, 'name': 'Victoria', 'code': 'AU-VIC'}], 'countries': [{'geonames_id': 2077456, 'name': 'Australia', 'code': 'AU'}]}, 'affiliation_part': 'Victoria University'}]",Victoria University
"[{'institutes': [{'institute': {'id': 'grid.7776.1', 'name': 'Cairo University', 'city': 'Giza', 'state': None, 'country': 'Egypt'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 360995, 'name': 'Giza'}], 'states': [{'geonames_id': 360997, 'name': 'Giza', 'code': None}], 'countries': [{'geonames_id': 357994, 'name': 'Egypt', 'code': 'EG'}]}, 'affiliation_part': 'Cairo University'}]",Cairo University
"[{'institutes': [{'institute': {'id': 'grid.274841.c', 'name': 'Kumamoto University', 'city': 'Kumamoto', 'state': 'Kumamoto', 'country': 'Japan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1858421, 'name': 'Kumamoto'}], 'states': [{'geonames_id': 1858419, 'name': 'Kumamoto', 'code': None}], 'countries': [{'geonames_id': 1861060, 'name': 'Japan', 'code': 'JP'}]}, 'affiliation_part': 'Kumamoto University'}]",Kumamoto University
"[{'institutes': [{'institute': {'id': 'grid.258803.4', 'name': 'Kyungpook National University', 'city': 'Daegu', 'state': None, 'country': 'South Korea'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1835329, 'name': 'Daegu'}], 'states': [{'geonames_id': 1835327, 'name': 'Daegu', 'code': None}], 'countries': [{'geonames_id': 1835841, 'name': 'South Korea', 'code': 'KR'}]}, 'affiliation_part': 'Kyungpook National University'}]",Kyungpook National University
"[{'institutes': [{'institute': {'id': 'grid.264933.9', 'name': 'New School', 'city': 'New York', 'state': 'New York', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5128581, 'name': 'New York City'}], 'states': [{'geonames_id': 5128638, 'name': 'New York', 'code': 'US-NY'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'New School University'}]",New School University
"[{'institutes': [{'institute': {'id': 'grid.412434.4', 'name': 'Thammasat University', 'city': 'Bangkok', 'state': None, 'country': 'Thailand'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1609350, 'name': 'Bangkok'}], 'states': [{'geonames_id': 1609348, 'name': 'Bangkok', 'code': None}], 'countries': [{'geonames_id': 1605651, 'name': 'Thailand', 'code': 'TH'}]}, 'affiliation_part': 'Thammasat University'}]",Thammasat University
"[{'institutes': [{'institute': {'id': 'grid.442169.c', 'name': 'Universidad Externado de Colombia', 'city': 'Bogotá', 'state': None, 'country': 'Colombia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 3688689, 'name': 'Bogota'}], 'states': [{'geonames_id': 3688685, 'name': 'Bogota D.C.', 'code': None}], 'countries': [{'geonames_id': 3686110, 'name': 'Colombia', 'code': 'CO'}]}, 'affiliation_part': 'Universidad Externado de Colombia'}]",Universidad Externado de Colombia
"[{'institutes': [{'institute': {'id': 'grid.24434.35', 'name': 'University of Nebraska–Lincoln', 'city': 'Lincoln', 'state': 'Nebraska', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5072006, 'name': 'Lincoln'}], 'states': [{'geonames_id': 5073708, 'name': 'Nebraska', 'code': 'US-NE'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of Nebraska - Lincoln'}]",University of Nebraska - Lincoln
"[{'institutes': [{'institute': {'id': 'grid.49697.35', 'name': 'University of Pretoria', 'city': 'Pretoria', 'state': None, 'country': 'South Africa'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 964137, 'name': 'Pretoria'}], 'states': [{'geonames_id': 1085594, 'name': 'Gauteng', 'code': None}], 'countries': [{'geonames_id': 953987, 'name': 'South Africa', 'code': 'ZA'}]}, 'affiliation_part': 'University of Pretoria'}]",University of Pretoria
"[{'institutes': [{'institute': {'id': 'grid.13797.3b', 'name': 'Åbo Akademi University', 'city': 'Turku', 'state': None, 'country': 'Finland'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 633679, 'name': 'Turku'}], 'states': [{'geonames_id': 830708, 'name': 'Southwest Finland', 'code': None}], 'countries': [{'geonames_id': 660013, 'name': 'Finland', 'code': 'FI'}]}, 'affiliation_part': 'Abo Akademi University'}]",Abo Akademi University
"[{'institutes': [{'institute': {'id': 'grid.77225.35', 'name': 'Altai State University', 'city': 'Barnaul', 'state': None, 'country': 'Russia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1510853, 'name': 'Barnaul'}], 'states': [{'geonames_id': 1511732, 'name': 'Altai Krai', 'code': None}], 'countries': [{'geonames_id': 2017370, 'name': 'Russia', 'code': 'RU'}]}, 'affiliation_part': 'Altai State University'}]",Altai State University
"[{'institutes': [{'institute': {'id': 'grid.4793.9', 'name': 'Aristotle University of Thessaloniki', 'city': 'Thessaloniki', 'state': 'Kentriki Makedonia', 'country': 'Greece'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 734077, 'name': 'Thessaloniki'}], 'states': [], 'countries': [{'geonames_id': 390903, 'name': 'Greece', 'code': 'GR'}]}, 'affiliation_part': 'Aristotle University of Thessaloniki'}]",Aristotle University of Thessaloniki
"[{'institutes': [{'institute': {'id': 'grid.162107.3', 'name': 'China University of Geosciences', 'city': 'Beijing', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1816670, 'name': 'Beijing'}], 'states': [{'geonames_id': 2038349, 'name': 'Beijing', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'China University of Geosciences'}]",China University of Geosciences
"[{'institutes': [{'institute': {'id': 'grid.411382.d', 'name': 'Lingnan University', 'city': 'Tuen Mun', 'state': 'Hong Kong', 'country': 'China'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 1818446, 'name': 'Tuen Mun'}], 'states': [{'geonames_id': 7533616, 'name': 'Tuen Mun', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'Lingnan University (Hong Kong)'}]",Lingnan University (Hong Kong)
"[{'institutes': [{'institute': {'id': 'grid.1025.6', 'name': 'Murdoch University', 'city': 'Perth', 'state': 'Western Australia', 'country': 'Australia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2063523, 'name': 'Perth'}], 'states': [{'geonames_id': 2058645, 'name': 'Western Australia', 'code': 'AU-WA'}], 'countries': [{'geonames_id': 2077456, 'name': 'Australia', 'code': 'AU'}]}, 'affiliation_part': 'Murdoch University'}]",Murdoch University
"[{'institutes': [{'institute': {'id': 'grid.261356.5', 'name': 'Okayama University', 'city': 'Okayama', 'state': 'Okayama', 'country': 'Japan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1854383, 'name': 'Okayama'}], 'states': [{'geonames_id': 1854381, 'name': 'Okayama', 'code': None}], 'countries': [{'geonames_id': 1861060, 'name': 'Japan', 'code': 'JP'}]}, 'affiliation_part': 'Okayama University'}]",Okayama University
"[{'institutes': [{'institute': {'id': 'grid.412889.e', 'name': 'University of Costa Rica', 'city': 'San José', 'state': None, 'country': 'Costa Rica'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 3621849, 'name': 'San Jose'}], 'states': [{'geonames_id': 3621837, 'name': 'San Jose', 'code': None}], 'countries': [{'geonames_id': 3624060, 'name': 'Costa Rica', 'code': 'CR'}]}, 'affiliation_part': 'Universidad de Costa Rica'}]",Universidad de Costa Rica
"[{'institutes': [{'institute': {'id': 'grid.441518.d', 'name': 'Universidad Panamericana', 'city': 'Guatemala City', 'state': None, 'country': 'Guatemala'}, 'metadata': {'requires_manual_review': True}}, {'institute': {'id': 'grid.412242.3', 'name': 'Panamerican University', 'city': 'Mexico City', 'state': None, 'country': 'Mexico'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 3598132, 'name': 'Guatemala City'}, {'geonames_id': 3530597, 'name': 'Mexico City'}], 'states': [{'geonames_id': 3595530, 'name': 'Guatemala', 'code': None}, {'geonames_id': 3527646, 'name': 'Mexico City', 'code': None}], 'countries': [{'geonames_id': 3595528, 'name': 'Guatemala', 'code': 'GT'}, {'geonames_id': 3996063, 'name': 'Mexico', 'code': 'MX'}]}, 'affiliation_part': 'Universidad Panamericana (UP)'}]",Universidad Panamericana (UP)
"[{'institutes': [{'institute': {'id': 'grid.34429.38', 'name': 'University of Guelph', 'city': 'Guelph', 'state': 'Ontario', 'country': 'Canada'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5967629, 'name': 'Guelph'}], 'states': [{'geonames_id': 6093943, 'name': 'Ontario', 'code': 'CA-ON'}], 'countries': [{'geonames_id': 6251999, 'name': 'Canada', 'code': 'CA'}]}, 'affiliation_part': 'University of Guelph'}]",University of Guelph
"[{'institutes': [{'institute': {'id': 'grid.254567.7', 'name': 'University of South Carolina', 'city': 'Columbia', 'state': 'South Carolina', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4575352, 'name': 'Columbia'}], 'states': [{'geonames_id': 4597040, 'name': 'South Carolina', 'code': 'US-SC'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of South Carolina at Columbia'}]",University of South Carolina at Columbia
"[{'institutes': [{'institute': {'id': 'grid.254277.1', 'name': 'Clark University', 'city': 'Worcester', 'state': 'Massachusetts', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4956184, 'name': 'Worcester'}], 'states': [{'geonames_id': 6254926, 'name': 'Massachusetts', 'code': 'US-MA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Clark University'}]",Clark University
"[{'institutes': [{'institute': {'id': 'grid.5110.5', 'name': 'University of Graz', 'city': 'Graz', 'state': 'Steiermark', 'country': 'Austria'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2778067, 'name': 'Graz'}], 'states': [{'geonames_id': 2764581, 'name': 'Styria', 'code': None}], 'countries': [{'geonames_id': 2782113, 'name': 'Austria', 'code': 'AT'}]}, 'affiliation_part': 'Karl-Franzens-Universität Graz'}]",Karl-Franzens-Universität Graz
"[{'institutes': [{'institute': {'id': 'grid.15538.3a', 'name': 'Kingston University', 'city': 'London', 'state': None, 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2643743, 'name': 'London'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'Kingston University, London'}]","Kingston University, London"
"[{'institutes': [{'institute': {'id': 'grid.412042.1', 'name': 'National Chengchi University', 'city': 'Taipei', 'state': None, 'country': 'Taiwan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1668341, 'name': 'Taipei'}], 'states': [{'geonames_id': 7280291, 'name': 'Taiwan', 'code': None}], 'countries': [{'geonames_id': 1668284, 'name': 'Taiwan', 'code': 'TW'}]}, 'affiliation_part': 'National Chengchi University'}]",National Chengchi University
"[{'institutes': [{'institute': {'id': 'grid.262229.f', 'name': 'Pusan National University', 'city': 'Busan', 'state': None, 'country': 'South Korea'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1838524, 'name': 'Busan'}], 'states': [{'geonames_id': 1838519, 'name': 'Busan', 'code': None}], 'countries': [{'geonames_id': 1835841, 'name': 'South Korea', 'code': 'KR'}]}, 'affiliation_part': 'Pusan National University'}]",Pusan National University
"[{'institutes': [{'institute': {'id': 'grid.24539.39', 'name': 'Renmin University of China', 'city': 'Beijing', 'state': 'Beijing', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1816670, 'name': 'Beijing'}], 'states': [{'geonames_id': 2038349, 'name': 'Beijing', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'Renmin (People’s) University of China'}]",Renmin (People’s) University of China
"[{'institutes': [{'institute': {'id': 'grid.9224.d', 'name': 'University of Seville', 'city': 'Seville', 'state': 'Andalucía', 'country': 'Spain'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2510911, 'name': 'Sevilla'}], 'states': [{'geonames_id': 2593109, 'name': 'Andalusia', 'code': None}], 'countries': [{'geonames_id': 2510769, 'name': 'Spain', 'code': 'ES'}]}, 'affiliation_part': 'Universidad de Sevilla'}]",Universidad de Sevilla
"[{'institutes': [{'institute': {'id': 'grid.7311.4', 'name': 'University of Aveiro', 'city': 'Aveiro', 'state': None, 'country': 'Portugal'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2742611, 'name': 'Aveiro'}], 'states': [{'geonames_id': 2742610, 'name': 'Aveiro', 'code': None}], 'countries': [{'geonames_id': 2264397, 'name': 'Portugal', 'code': 'PT'}]}, 'affiliation_part': 'University of Aveiro'}]",University of Aveiro
