matches,input.affiliation
"[{'institutes': [{'institute': {'id': 'grid.12527.33', 'name': 'Tsinghua University', 'city': 'Beijing', 'state': 'Beijing', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1816670, 'name': 'Beijing'}], 'states': [{'geonames_id': 2038349, 'name': 'Beijing', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'Tsinghua University'}]",Tsinghua University
"[{'institutes': [{'institute': {'id': 'grid.25879.31', 'name': 'University of Pennsylvania', 'city': 'Philadelphia', 'state': 'Pennsylvania', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4560349, 'name': 'Philadelphia'}], 'states': [{'geonames_id': 6254927, 'name': 'Pennsylvania', 'code': 'US-PA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of Pennsylvania'}]",University of Pennsylvania
"[{'institutes': [{'institute': {'id': 'grid.47100.32', 'name': 'Yale University', 'city': 'New Haven', 'state': 'Connecticut', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4839366, 'name': 'New Haven'}], 'states': [{'geonames_id': 4831725, 'name': 'Connecticut', 'code': 'US-CT'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Yale University'}]",Yale University
"[{'institutes': [{'institute': {'id': 'grid.5386.8', 'name': 'Cornell University', 'city': 'Ithaca', 'state': 'New York', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5122432, 'name': 'Ithaca'}], 'states': [{'geonames_id': 5128638, 'name': 'New York', 'code': 'US-NY'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Cornell University'}]",Cornell University
"[{'institutes': [{'institute': {'id': 'grid.21729.3f', 'name': 'Columbia University', 'city': 'New York', 'state': 'New York', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5128581, 'name': 'New York City'}], 'states': [{'geonames_id': 5128638, 'name': 'New York', 'code': 'US-NY'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Columbia University'}]",Columbia University
"[{'institutes': [{'institute': {'id': 'grid.4305.2', 'name': 'University of Edinburgh', 'city': 'Edinburgh', 'state': None, 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2650225, 'name': 'Edinburgh'}], 'states': [{'geonames_id': 2638360, 'name': 'Scotland', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'University of Edinburgh'}]",University of Edinburgh
"[{'institutes': [{'institute': {'id': 'grid.214458.e', 'name': 'University of Michigan–Ann Arbor', 'city': 'Ann Arbor', 'state': 'Michigan', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4984247, 'name': 'Ann Arbor'}], 'states': [{'geonames_id': 5001836, 'name': 'Michigan', 'code': 'US-MI'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of Michigan-Ann Arbor'}]",University of Michigan-Ann Arbor
"[{'institutes': [{'institute': {'id': 'grid.194645.b', 'name': 'University of Hong Kong', 'city': 'Hong Kong', 'state': 'Hong Kong', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1819729, 'name': 'Hong Kong'}], 'states': [{'geonames_id': 7533598, 'name': 'Central and Western', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'University of Hong Kong (HKU)'}]",University of Hong Kong (HKU)
"[{'institutes': [{'institute': {'id': 'grid.11135.37', 'name': 'Peking University', 'city': 'Beijing', 'state': 'Beijing', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1816670, 'name': 'Beijing'}], 'states': [{'geonames_id': 2038349, 'name': 'Beijing', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'Peking University'}]",Peking University
"[{'institutes': [{'institute': {'id': 'grid.26999.3d', 'name': 'University of Tokyo', 'city': 'Tokyo', 'state': None, 'country': 'Japan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1850147, 'name': 'Tokyo'}], 'states': [{'geonames_id': 1850144, 'name': 'Tokyo', 'code': None}], 'countries': [{'geonames_id': 1861060, 'name': 'Japan', 'code': 'JP'}]}, 'affiliation_part': 'The University of Tokyo'}]",The University of Tokyo
